diag_name,component,message_template,covered_only_by_opportunistic_record
err_keyword_misplaced,Parse,misplaced %0; expected %0 here,false
err_keyword_not_allowed,Parse,%0 cannot appear here,false
err_keyword_not_import_attr,Parse,%0 cannot be applied to a module import,false
err_keyword_not_module_attr,Parse,%0 cannot be applied to a module,false
err_lambda_capture_anonymous_var,Sema,unnamed variable cannot be implicitly captured in a lambda expression,false
err_lambda_capture_default_arg,Sema,lambda expression in default argument cannot capture any entity,false
err_lambda_capture_multiple_ellipses,Parse,multiple ellipses in pack capture,false
err_lambda_in_constant_expression,Sema,a lambda expression may not appear inside of a constant expression,false
err_lexing_char,Lex,failure when lexing a character literal,false
err_lexing_numeric,Lex,failure when lexing a numeric literal,false
err_lexing_string,Lex,failure when lexing a string literal,false
err_lifetimebound_ctor_dtor,Sema,'lifetimebound' attribute cannot be applied to a %select{constructor|destructor}0,false
err_lifetimebound_implicit_object_parameter_void_return_type,Sema,'lifetimebound' attribute cannot be applied to an implicit object parameter of a function that returns void; did you mean 'lifetime_capture_by(X)',false
err_lifetimebound_no_object_param,Sema,'lifetimebound' attribute cannot be applied; %select{non-|static |explicit object }0member function has no implicit object parameter,false
err_list_init_in_parens,Sema,cannot initialize %select{non-class|reference}0 type %1 with a parenthesized initializer list,true
err_literal_operator_invalid_param,Sema,"parameter of literal operator must have type 'unsigned long long', 'long double', 'char', 'wchar_t', 'char16_t', 'char32_t', or 'const char *'",false
err_literal_operator_string_prefix,Parse,string literal after 'operator' cannot have an encoding prefix,false
err_main_surplus_args,Sema,"too many parameters (%0) for 'main': must be 0, 2, or 3",false
err_make_signed_integral_only,Sema,"'%select{make_unsigned|make_signed}0' is only compatible with non-%select{bool|_BitInt(1)}1 integers and enum types, but was given %2%select{| whose underlying type is %4}3",false
err_malformed_std_class_template,Sema,std::%0 must be a class template with a single type parameter,false
err_malformed_std_coroutine_handle,Sema,std::coroutine_handle isn't a class template,false
err_malformed_std_nothrow,Sema,std::nothrow must be a valid variable declaration,false
err_member_decl_does_not_match,Sema,out-of-line %select{declaration|definition}2 of %0 does not match any declaration in %1,true
err_member_decl_does_not_match_suggest,Sema,out-of-line %select{declaration|definition}2 of %0 does not match any declaration in %1; did you mean %3?,false
err_member_def_undefined_record,Sema,out-of-line definition of %0 from class %1 without definition,false
err_member_function_call_bad_type,Sema,cannot initialize object parameter of type %0 with an expression of type %1,false
err_member_name_of_class,Sema,member %0 has the same name as its class,true
err_member_not_yet_instantiated,Sema,no member %0 in %1; it has not yet been instantiated,false
err_member_qualification,Sema,non-friend class member %0 cannot have a qualified name,true
err_member_redeclared,Sema,class member cannot be redeclared,true
err_mismatched_exception_spec_explicit_instantiation,Sema,exception specification in explicit instantiation does not match instantiated one,false
err_mismatched_owning_module,Sema,declaration of %0 in %select{the global module|module %2}1 follows declaration in %select{the global module|module %4}3,false
err_mismatching_type_aware_cleanup_deallocator,Sema,type aware %0 requires a matching type aware %select{|placement }1%2 to be declared in the same scope,false
err_missing_before_module_end,Parse,expected %0 at end of module,false
err_missing_end_of_definition,Parse,missing '}' at end of definition of %q0,false
err_missing_whitespace_digraph,Parse,"found '<::' after a %select{template name|addrspace_cast|const_cast|dynamic_cast|reinterpret_cast|static_cast}0 which forms the digraph '<:' (aka '[') and a ':', did you mean '< ::'?",false
